Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
I1,2014-10-05,Napoli,Torino,2.0,1.0,H,24.0,5.0,9.0,2.0,17.0,16.0,9.0,2.0,3.0,3.0,0.0,0.0,1.5,4.0,7.0,1.54,4.18,7.63,1.56,4.33,7.63,1.52,3.99,6.92,43.0,2014/2015
I1,2014-10-18,Roma,Chievo,3.0,0.0,H,14.0,11.0,8.0,3.0,12.0,13.0,6.0,2.0,1.0,1.0,0.0,0.0,1.3,5.5,9.0,1.31,5.69,12.52,1.33,6.0,13.0,1.3,5.31,10.33,46.0,2014/2015
I1,2014-10-18,Sassuolo,Juventus,1.0,1.0,D,7.0,19.0,2.0,7.0,14.0,15.0,2.0,6.0,2.0,2.0,0.0,1.0,7.5,4.5,1.4,8.75,4.75,1.44,10.5,5.0,1.45,8.31,4.5,1.4,46.0,2014/2015
I1,2014-10-19,Atalanta,Parma,1.0,0.0,H,18.0,6.0,3.0,1.0,11.0,18.0,3.0,1.0,2.0,3.0,0.0,0.0,2.5,3.2,2.88,2.63,3.18,3.07,2.63,3.3,3.15,2.52,3.18,2.92,44.0,2014/2015
I1,2014-10-19,Cagliari,Sampdoria,2.0,2.0,D,13.0,13.0,4.0,8.0,19.0,15.0,8.0,0.0,3.0,5.0,0.0,1.0,2.5,3.3,2.75,2.64,3.27,2.98,2.66,3.4,3.05,2.56,3.22,2.83,46.0,2014/2015
I1,2014-10-19,Fiorentina,Lazio,0.0,2.0,A,15.0,10.0,2.0,5.0,11.0,24.0,6.0,4.0,1.0,5.0,0.0,0.0,2.05,3.3,3.6,2.07,3.41,4.12,2.11,3.41,4.2,2.05,3.28,3.82,45.0,2014/2015
I1,2014-10-19,Inter Milan,Napoli,2.0,2.0,D,22.0,12.0,5.0,4.0,8.0,12.0,6.0,4.0,2.0,3.0,0.0,0.0,2.5,3.25,2.8,2.56,3.33,3.04,2.6,3.42,3.05,2.49,3.27,2.87,46.0,2014/2015
I1,2014-10-19,Palermo,Cesena,2.0,1.0,H,12.0,4.0,4.0,2.0,16.0,16.0,12.0,3.0,5.0,3.0,0.0,1.0,1.65,3.6,5.5,1.71,3.73,5.95,1.8,3.75,6.0,1.71,3.55,5.33,46.0,2014/2015
I1,2014-10-19,Torino,Udinese,1.0,0.0,H,23.0,11.0,5.0,3.0,16.0,8.0,8.0,5.0,3.0,2.0,0.0,0.0,2.15,3.2,3.4,2.25,3.26,3.72,2.4,3.31,3.72,2.24,3.19,3.39,46.0,2014/2015
I1,2014-10-19,Verona,Milan,1.0,3.0,A,22.0,12.0,8.0,5.0,10.0,15.0,8.0,5.0,2.0,1.0,1.0,0.0,3.4,3.4,2.1,3.72,3.45,2.17,3.75,3.49,2.25,3.48,3.33,2.14,46.0,2014/2015
