Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
D1,2014-10-18,Schalke 04,Hertha,2,0,H,7,15,3,4,21,21,0,5,1,1,0,0,1.67,3.8,5.0,1.74,3.98,5.18,1.8,4.01,5.2,1.73,3.72,4.81,45.0,2014/2015
D1,2014-10-18,Freiburg,Wolfsburg,1,2,A,14,15,7,8,11,18,6,2,1,1,0,0,3.5,3.5,2.0,3.8,3.59,2.06,3.9,3.7,2.2,3.62,3.48,2.03,45.0,2014/2015
D1,2014-10-18,Mainz,Augsburg,2,1,H,8,15,6,6,15,14,4,6,3,2,0,0,2.3,3.4,3.0,2.44,3.31,3.24,2.44,3.42,3.25,2.35,3.29,3.08,45.0,2014/2015
D1,2014-10-19,Hamburg,Hoffenheim,1,1,D,17,9,6,4,16,24,5,2,1,3,0,0,2.4,3.4,2.8,2.6,3.6,2.79,2.62,3.65,2.9,2.51,3.4,2.75,45.0,2014/2015
D1,2014-10-19,Paderborn,Ein Frankfurt,3,1,H,14,11,5,3,10,13,3,4,0,1,0,0,2.5,3.4,2.7,2.6,3.54,2.75,2.66,3.55,2.84,2.56,3.36,2.72,45.0,2014/2015
D1,2014-10-24,Werder Bremen,FC Koln,0,1,A,11,10,4,4,19,12,8,1,3,0,0,0,2.55,3.4,2.63,2.7,3.46,2.78,2.9,3.5,2.75,2.69,3.34,2.63,44.0,2014/2015
D1,2014-10-25,Augsburg,Freiburg,2,0,H,15,10,4,3,17,13,2,5,3,1,0,0,1.83,3.6,4.2,1.93,3.66,4.37,1.95,3.75,4.5,1.88,3.51,4.19,44.0,2014/2015
D1,2014-10-25,Dortmund,Hannover,0,1,A,17,7,4,3,13,18,14,1,3,4,0,1,1.22,6.5,11.0,1.24,7.21,13.85,1.29,7.13,13.57,1.24,6.11,12.21,44.0,2014/2015
D1,2014-10-25,Ein Frankfurt,Stuttgart,4,5,A,21,20,13,10,17,18,3,9,5,3,1,0,2.25,3.4,3.0,2.38,3.65,3.07,2.5,3.75,3.13,2.33,3.46,2.96,44.0,2014/2015
D1,2014-10-25,Hertha,Hamburg,3,0,H,15,10,6,3,15,21,4,1,0,2,0,0,2.2,3.4,3.2,2.28,3.43,3.45,2.3,3.45,3.45,2.25,3.33,3.23,44.0,2014/2015
D1,2014-10-25,Hoffenheim,Paderborn,1,0,H,19,11,5,1,14,15,6,4,2,3,0,0,1.62,4.33,4.75,1.69,4.22,5.23,1.7,4.33,5.6,1.64,4.01,5.16,44.0,2014/2015
D1,2014-10-25,Leverkusen,Schalke 04,1,0,H,24,4,7,1,8,17,8,3,1,4,1,0,1.67,4.1,4.5,1.76,4.15,4.71,1.85,4.2,4.95,1.73,3.88,4.61,44.0,2014/2015
D1,2014-10-26,M'gladbach,Bayern Munich,0,0,D,11,20,5,5,8,11,4,10,1,3,0,0,8.0,4.75,1.36,8.82,4.98,1.42,8.81,5.1,1.5,7.94,4.55,1.41,43.0,2014/2015
D1,2014-10-26,Wolfsburg,Mainz,3,0,H,24,16,12,4,16,15,10,3,1,3,0,0,1.67,3.8,5.0,1.66,4.21,5.58,1.75,4.21,5.58,1.66,3.86,5.17,44.0,2014/2015
D1,2014-10-31,Schalke 04,Augsburg,1,0,H,13,20,7,5,10,16,4,2,2,2,0,0,1.91,3.6,3.8,1.98,3.69,4.09,2.04,3.8,4.2,1.94,3.56,3.91,45.0,2014/2015
D1,2014-11-01,Bayern Munich,Dortmund,2,1,H,25,10,14,4,13,5,9,2,1,2,0,0,1.44,4.5,6.5,1.5,4.78,7.05,1.55,4.9,7.0,1.48,4.5,6.4,45.0,2014/2015
D1,2014-11-01,Stuttgart,Wolfsburg,0,4,A,13,15,4,6,13,11,4,6,1,0,0,0,3.3,3.5,2.1,3.35,3.71,2.21,3.35,3.75,2.4,3.18,3.49,2.2,45.0,2014/2015
D1,2014-11-01,Hamburg,Leverkusen,1,0,H,5,11,1,2,29,25,1,3,6,3,0,0,3.4,3.5,2.05,3.82,3.73,2.04,3.85,3.8,2.15,3.6,3.55,2.02,45.0,2014/2015
D1,2014-11-01,Mainz,Werder Bremen,1,2,A,21,9,3,7,17,15,8,1,4,3,0,0,1.73,4.0,4.33,1.82,3.95,4.59,1.87,4.0,5.0,1.79,3.75,4.41,45.0,2014/2015
D1,2014-11-01,Hannover,Ein Frankfurt,1,0,H,14,6,3,4,13,20,10,4,2,2,0,0,2.25,3.4,3.1,2.31,3.63,3.21,2.38,3.75,3.3,2.3,3.49,3.01,45.0,2014/2015
D1,2014-11-02,M'gladbach,Hoffenheim,3,1,H,13,15,7,3,15,12,6,3,1,1,0,0,1.95,3.5,3.75,2.01,3.71,3.95,2.05,3.75,4.0,1.98,3.53,3.72,44.0,2014/2015
