Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
SP1,2014-10-25,Real Madrid,Barcelona,3,1,H,18,16,6,5,11,10,3,9,2,4,0,0,2.38,3.75,3.0,2.39,3.75,2.99,2.44,3.8,3.2,2.34,3.56,2.92,45.0,2014/2015
SP1,2014-10-25,Valencia,Elche,3,1,H,12,8,4,3,11,17,8,6,0,2,0,0,1.36,4.75,8.5,1.4,4.87,9.84,1.4,5.08,10.5,1.38,4.72,8.8,44.0,2014/2015
SP1,2014-10-26,Espanol,Deportivo La Coruna,0,0,D,16,5,5,1,12,17,11,0,2,4,0,0,1.91,3.4,4.0,1.9,3.53,4.75,1.95,3.65,5.0,1.86,3.43,4.41,45.0,2014/2015
SP1,2014-10-26,Getafe,Atletico Madrid,0,1,A,11,12,4,7,17,11,1,8,3,3,1,0,7.0,3.75,1.53,7.59,4.14,1.55,7.85,4.14,1.6,6.82,3.82,1.55,45.0,2014/2015
SP1,2014-10-26,Malaga,Vallecano,4,0,H,18,10,8,4,18,21,7,4,1,4,0,0,1.83,3.5,4.33,1.95,3.58,4.38,2.02,3.6,4.5,1.91,3.45,4.15,45.0,2014/2015
SP1,2014-10-26,Sevilla,Villarreal,2,1,H,8,11,4,4,19,15,3,2,3,4,0,0,2.0,3.4,3.75,2.15,3.56,3.67,2.18,3.6,3.8,2.1,3.4,3.53,45.0,2014/2015
SP1,2014-10-31,Deportivo La Coruna,Getafe,1,2,A,9,16,2,4,7,23,4,6,2,1,0,0,2.2,3.1,3.5,2.33,3.2,3.59,2.38,3.4,3.7,2.27,3.15,3.45,46.0,2014/2015
SP1,2014-11-01,Atletico Madrid,Cordoba,4,2,H,16,8,8,4,12,13,4,5,0,2,0,0,1.18,6.5,15.0,1.21,7.06,19.44,1.22,7.5,23.0,1.19,6.5,17.33,46.0,2014/2015
SP1,2014-11-01,Barcelona,Celta,0,1,A,19,10,9,4,10,29,9,5,1,2,0,0,1.13,8.5,17.0,1.14,10.39,22.5,1.15,10.5,24.0,1.13,8.58,19.57,46.0,2014/2015
SP1,2014-11-01,Granada,Real Madrid,0,4,A,11,18,5,8,19,9,3,4,1,2,0,0,12.0,7.0,1.2,14.45,6.84,1.24,15.0,7.01,1.26,12.48,6.29,1.23,45.0,2014/2015
SP1,2014-11-01,Sociedad,Malaga,0,1,A,5,6,0,2,18,22,6,3,2,5,0,0,2.2,3.4,3.2,2.22,3.45,3.58,2.25,3.5,3.75,2.15,3.33,3.49,46.0,2014/2015
SP1,2014-11-02,Athletic Bilbao,Sevilla,1,0,H,9,4,2,1,24,11,4,8,4,3,0,0,2.4,3.3,2.9,2.52,3.43,3.01,2.54,3.43,3.1,2.44,3.29,2.95,46.0,2014/2015
SP1,2014-11-02,Elche,Espanol,2,1,H,11,15,5,5,19,10,4,10,2,2,2,0,2.63,3.1,2.75,2.68,3.13,3.05,2.8,3.3,3.05,2.66,3.05,2.87,46.0,2014/2015
SP1,2014-11-02,Levante,Almeria,2,1,H,11,14,5,5,17,17,3,6,3,2,0,0,2.4,3.1,3.1,2.5,3.29,3.16,2.5,3.3,3.3,2.42,3.18,3.08,46.0,2014/2015
SP1,2014-11-02,Villarreal,Valencia,1,3,A,14,6,4,3,12,15,11,4,2,3,0,0,2.1,3.4,3.4,2.09,3.64,3.74,2.2,3.66,3.75,2.09,3.45,3.51,46.0,2014/2015
